"","X","cluster"
"349","APT",1
"350","NWPX",1
"351","SCL",1
"352","WDFC",1
"353","NP",1
"354","TGLS",1
"355","ACH",1
"356","DNN",1
"357","IOSP",1
"358","PLM",1
"359","FF",1
"360","KWR",1
"361","AUMN",1
"362","CMCL",1
"363","NTIC",1
"364","MBII",1
"365","TGEN",1
"366","ASPN",1
"367","CPAC",1
"368","GURE",1
"369","OSN",1
"370","USAU",1
"371","PZG",1
"372","AAU",1
"373","ASM",2
"374","CCCL",1
"375","CCR",1
"376","CGA",1
"377","CHNR",1
"378","CINR",1
"379","CTHR",1
"380","DRD",1
"381","EMX",1
"382","FRD",1
"383","FSI",1
"384","GEVO",1
"385","GMO",1
"386","HNRG",1
"387","IGC",1
"388","IKNX",1
"389","JCTCF",1
"390","JHX",1
"391","KGJI",1
"392","MPVD",1
"393","ODC",1
"394","PLG",1
"395","POPE",1
"396","SES",1
"397","SIM",1
"398","SPPP",1
"399","TMQ",1
"400","TRX",1
"401","UAMY",1
"402","USAP",1
"403","USLM",1
"404","WRN",1
"405","YTEN",1
"406","PFE",4
"407","BMY",4
"408","GERN",1
"409","GILD",4
"410","ABBV",4
"411","MRK",4
"412","JNJ",4
"413","BSX",1
"414","ABT",4
"415","WBA",4
"416","CDNA",1
"417","MDT",4
"418","CVS",4
"419","UNH",4
"420","CNC",1
"421","CI",1
"422","SYNH",1
"423","CELG",1
"424","BIIB",1
"425","GSK",4
"426","TEVA",4
"427","MYL",1
"428","XRAY",1
"429","PGNX",1
"430","IMGN",1
"431","GKOS",1
"432","ALXN",1
"433","IDRA",1
"434","RIGL",1
"435","ENDP",1
"436","OMER",1
"437","AMGN",4
"438","TLGT",1
"439","PDCO",1
"440","BKD",1
"441","BDX",1
"442","HOLX",1
"443","ANTM",1
"444","ZBH",1
"445","NVAX",1
"446","TNDM",1
"447","DXCM",1
"448","LLY",4
"449","HSIC",1
"450","CYH",1
"451","THC",1
"452","SRNE",1
"453","OPK",1
"454","BAX",1
"455","AGN",1
"456","HCA",1
"457","VRTX",1
"458","NKTR",1
"459","A",1
"460","MNK",1
"461","AZN",4
"462","DHR",1
"463","IMMU",1
"464","FOLD",1
"465","PDLI",1
"466","DVAX",1
"467","PKI",1
"468","UHS",1
"469","ACHC",1
"470","NVS",4
"471","TTPH",1
"472","VRAY",1
"473","ALNY",1
"474","BMRN",1
"475","HRTX",1
"476","TXMD",1
"477","INSM",1
"478","EXEL",1
"479","HZNP",1
"480","AKBA",1
"481","TMO",1
"482","ACAD",1
"483","ARNA",1
"484","QGEN",1
"485","CLVS",1
"486","ARQL",1
"487","LIVN",1
"488","AMAG",1
"489","DGX",1
"490","HALO",1
"491","SGMO",1
"492","MCK",1
"493","ABC",1
"494","NVO",4
"495","VNDA",1
"496","EW",1
"497","AMRN",1
"498","IONS",1
"499","NEOS",1
"500","ZTS",1
"501","BDSI",1
"502","AKRX",1
"503","RDNT",1
"504","SYK",1
"505","PCRX",1
"506","ILMN",1
"507","ISRG",1
"508","PODD",1
"509","CAH",1
"510","DVA",1
"511","AMPE",1
"512","REGN",1
"513","VKTX",1
"514","HUM",1
"515","OMI",1
"516","EXAS",1
"517","RMD",1
"518","MDXG",1
"519","INCY",1
"520","NVCN",1
"521","GRFS",1
"522","WMGI",1
"523","ESPR",1
"524","LH",1
"525","MOH",1
"526","HTGM",1
"527","COO",1
"528","ABEO",1
"529","BLUE",1
"530","CORT",1
"531","XXII",1
"532","AXGN",1
"533","BRKR",1
"534","NBIX",1
"535","JAZZ",1
"536","PRTA",1
"537","PTLA",1
"538","HAE",1
"539","LMNX",1
"540","TGTX",1
"541","DPLO",1
"542","BEAT",1
"543","XON",1
"544","SNY",4
"545","CBAY",1
"546","AVEO",1
"547","SPPI",1
"548","IDXX",1
"549","ONCS",1
"550","SRPT",1
"551","SGEN",1
"552","TFX",1
"553","QDEL",1
"554","INVA",1
"555","LCI",1
"556","WST",1
"557","ARWR",1
"558","MRNS",1
"559","ALGN",1
"560","AVXL",1
"561","AXDX",1
"562","NUVA",1
"563","ADVM",1
"564","BIOS",1
"565","ARAY",1
"566","DERM",1
"567","AYTU",1
"568","PRGO",1
"569","PRAH",1
"570","CLDX",1
"571","VCEL",1
"572","SENS",1
"573","IQV",1
"574","SGRY",1
"575","AGEN",1
"576","MNTA",1
"577","MNKD",1
"578","ICPT",1
"579","MDCO",1
"580","MMSI",1
"581","PTN",1
"582","PBYI",1
"583","IRWD",1
"584","VAR",1
"585","SUPN",1
"586","COLL",1
"587","DRNA",1
"588","PACB",1
"589","AVDL",1
"590","NLNK",1
"591","CRL",1
"592","LNTH",1
"593","RHE",1
"594","INO",1
"595","STE",1
"596","MDGS",1
"597","ONVO",1
"598","FGEN",1
"599","ACHN",1
"600","SNN",1
"601","MRTX",1
"602","ABMD",1
"603","HRC",1
"604","EGRX",1
"605","DBVT",1
"606","CRBP",1
"607","MTD",1
"608","BCRX",1
"609","CBPO",1
"610","CPHI",1
"611","ICLR",1
"612","DRRX",1
"613","IOVA",1
"614","TRXC",1
"615","OSUR",1
"616","NVCR",1
"617","CRIS",1
"618","PRTK",1
"619","ELGX",1
"620","AIMT",1
"621","NVTA",1
"622","CTLT",1
"623","CUTR",1
"624","RARE",1
"625","CBM",1
"626","MYOK",1
"627","XNCR",1
"628","FPRX",1
"629","FLXN",1
"630","CFMS",1
"631","ENZ",1
"632","CDXS",1
"633","OTIC",1
"634","CPRX",1
"635","ZIOP",1
"636","MDGL",1
"637","GBT",1
"638","AERI",1
"639","SEM",1
"640","KPTI",1
"641","IVC",1
"642","EHC",1
"643","MYGN",1
"644","LHCG",1
"645","PIRS",1
"646","ABIO",1
"647","SRRA",1
"648","UTHR",1
"649","AMED",1
"650","CHRS",1
"651","CASI",1
"652","GMED",1
"653","VERU",1
"654","ONCE",1
"655","PTCT",1
"656","ATNM",1
"657","CSU",1
"658","IART",1
"659","CNAT",1
"660","LXRX",1
"661","ADMS",1
"662","RMTI",1
"663","ALKS",1
"664","SBBP",1
"665","ATRS",1
"666","WCG",1
"667","PTI",1
"668","BIOC",1
"669","ABUS",1
"670","STML",1
"671","NVRO",1
"672","GEN",1
"673","ADXS",1
"674","FMS",1
"675","RDY",1
"676","CERS",1
"677","ANGO",1
"678","CTMX",1
"679","RDUS",1
"680","GWPH",1
"681","MGLN",1
"682","ADMP",1
"683","ACRS",1
"684","MD",1
"685","CNCE",1
"686","QTNT",1
"687","ZGNX",1
"688","ITCI",1
"689","VIVO",1
"690","CTIC",1
"691","CTSO",1
"692","ACOR",1
"693","ALIM",1
"694","GNMK",1
"695","VYGR",1
"696","LGND",1
"697","BIO",1
"698","RVNC",1
"699","VBLT",1
"700","BPMC",1
"701","NBRV",1
"702","TVTY",1
"703","TECH",1
"704","ATRA",1
"705","GLYC",1
"706","QURE",1
"707","ICUI",1
"708","WVE",1
"709","SYBX",1
"710","XLRN",1
"711","LMAT",1
"712","BLRX",1
"713","CRMD",1
"714","CMD",1
"715","ADUS",1
"716","CRHM",1
"717","HIIQ",1
"718","SIEN",1
"719","ITGR",1
"720","RGEN",1
"721","EBS",1
"722","SAGE",1
"723","CALA",1
"724","ARDX",1
"725","ADAP",1
"726","TRVN",1
"727","LJPC",1
"728","MLNT",1
"729","VSTM",1
"730","STAA",1
"731","ADMA",1
"732","ENTA",1
"733","HBIO",1
"734","NSTG",1
"735","CDMO",1
"736","CGIX",1
"737","INGN",1
"738","PEN",1
"739","ANIP",1
"740","GNCA",1
"741","PRSC",1
"742","FATE",1
"743","TTOO",1
"744","AMPH",1
"745","CNMD",1
"746","CYTK",1
"747","FONR",1
"748","CRY",1
"749","AGIO",1
"750","CO",1
"751","EARS",1
"752","HSKA",1
"753","USPH",1
"754","CARA",1
"755","CMRX",1
"756","TARO",1
"757","NEO",1
"758","MTEM",1
"759","RTTR",1
"760","ASMB",1
"761","CHE",1
"762","CDTX",1
"763","MEIP",1
"764","XENT",1
"765","TCON",1
"766","NERV",1
"767","NYMX",1
"768","FCSC",1
"769","BLCM",1
"770","RGNX",1
"771","AFMD",1
"772","EIGR",1
"773","ATRC",1
"774","SRDX",1
"775","OCUL",1
"776","EPZM",1
"777","ADRO",1
"778","PLX",1
"779","CFRX",1
"780","ENSG",1
"781","RWLK",1
"782","TBPH",1
"783","PAHC",1
"784","ALDX",1
"785","ONTX",1
"786","JAGX",1
"787","CSII",1
"788","RTIX",1
"789","NEOG",1
"790","GNMX",1
"791","GALT",1
"792","AUPH",1
"793","NK",1
"794","DFFN",1
"795","VIVE",1
"796","OFIX",1
"797","GLMD",1
"798","MDWD",1
"799","ZFGN",1
"800","ZSAN",1
"801","CCXI",1
"802","ARA",1
"803","KIN",1
"804","MACK",1
"805","ATHX",1
"806","PLXP",1
"807","XOMA",1
"808","NVIV",1
"809","PULM",1
"810","SCYX",1
"811","NTRA",1
"812","MBOT",1
"813","APTO",1
"814","SNSS",1
"815","VCYT",1
"816","CGEN",1
"817","FOMX",1
"818","MGEN",1
"819","KMPH",1
"820","RCKT",1
"821","CLSN",1
"822","OCX",1
"823","CLLS",1
