"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Market.Cap","cluster"
"APEI 2014",-0.51328503174558,0.0335464748837479,0.00731788117520317,0.00775148895320585,-0.0216741632458602,636545617.65,"2"
"KOF 2014",0.395933307858309,-0.236369082333536,0.00370640517779737,0.0961974184585937,-0.314867604023259,2913940000,"2"
"NBEV 2014",-0.537614288229446,0.0313032904222383,0.00542201370187331,0.00295960903534362,-0.0143485733326017,6019903.89,"2"
"NAUH 2014",-0.531447481128519,0.0227241277328523,0.00561534384644952,0.00435430298767699,-0.023160236455896,83377208.44,"2"
"IMKTA 2014",-0.423336789241885,-0.0314912517394041,0.00498547430852152,0.00646792925200639,-0.0189364361535801,544413841.92,"2"
"CECO 2014",-0.524326205210016,0.0115152402194949,0.00612379328213343,-0.00716898237421462,-0.0100776470500695,468258986.4,"2"
"TR 2014",-0.508024186136626,0.0210820270978955,0.00767491038462303,0.0141867870391909,-0.040686218069394,1853041794.4472,"2"
"ANDE 2014",-0.448298102527538,0.0195839214281667,0.0101861720761705,-0.00490608275087504,-0.0447661903824825,1535746000,"2"
"VLGEA 2014",-0.494696236935908,0.0197888100533585,0.0068060838433257,0.00809703653878723,-0.0355569267764812,337288704,"2"
"REV 2014",-0.421621473293038,-0.0536776898420387,0.0103095930377282,-0.00814841679995523,0.0954173577601778,1788508219.68,"2"
"JBSS 2014",-0.516863896206112,0.0199002405716651,0.00656474806904977,0.00566737208544261,-0.0336805844118937,291057393.16,"2"
"LRN 2014",-0.484208410455812,0.0784927286894938,0.00361605218050125,0.000239521479667577,0.01434671448602,952041889.43,"2"
"HLG 2014",-0.536298938486394,0.0218153188697037,0.00539236102025256,0.0079923545517539,-0.0253434158215072,118785800000,"2"
"JJSF 2014",-0.48397961663745,0.02320292675693,0.00828701563532932,0.0143857153756451,-0.0567916841517939,1757456774.28,"2"
"RIBT 2014",-0.553710736775697,0.0218904293971693,0.00593707760942875,0.00451112720678491,-0.00856919258229465,38996181.12,"2"
"FC 2014",-0.526715920481809,0.0213020899964945,0.00550767350136795,0.00635598658669693,-0.0248205051590948,320307890,"2"
"LNDC 2014",-0.530725587227616,0.0236386237547176,0.00654724649789259,0.00663694384766318,-0.0245551372886765,327790541.52,"2"
"LMNR 2014",-0.534998697014992,0.020506425932803,0.00587571720172086,0.0056348468659987,-0.018955703371167,361243455.82,"2"
"CELH 2014",-0.543321721962657,0.022706394957415,0.00574279637902359,0.0048787568096158,-0.0175778423082206,75012914.94,"2"
"FARM 2014",-0.516767860581658,0.0293957550992274,0.0045231392118704,0.00734827224972187,-0.0215087338009191,357868925.79,"2"
"BREW 2014",-0.538157233331726,0.021048677322209,0.00576220422730207,0.00627746254285482,-0.0204861354367201,254450121.48,"2"
"SEED 2014",-0.539569472426009,0.0250420658871881,0.0048780365619123,0.00315655911226832,-0.0184918846928733,30188400,"2"
"COKE 2014",-0.453897044990532,-0.00176046073477636,0.0047722637910439,0.00458847395806458,-0.021602150507938,815318913.46,"2"
"ANFI 2014",-0.527918958440378,0.0185691042071509,0.00637901690018103,0.00492179346490218,-0.0255490572423482,416150000,"2"
"DL 2014",-0.524072873400479,0.0216170589362965,0.00545958954596085,0.00984285342124667,-0.0328661301148613,242895510,"2"
"COE 2014",-0.545560198608437,0.0212809765809449,0.00602044221563055,0.00550579769750957,-0.0186074565690628,50381800,"2"
"LBCC 2014",-0.543955637416961,0.0206970959927769,0.00581629976446565,0.00566152146521445,-0.0208312514045251,37925155.5,"2"
"SENEA 2014",-0.516690795824892,0.00885529930586721,0.00533087076397507,0.00756890854056765,-0.0247391841948486,338147142,"2"
"CHSCM 2014",-0.0726482914615086,0.0174132663262035,-0.0116423566422814,0.11012104210477,-0.182691868622618,10113402191.68,"2"
"CHSCN 2014",0.0131811482320211,-0.0135224950420791,-0.0132960364567147,0.119832723048415,-0.289516491139901,9379880000,"2"
"BRID 2014",-0.540353258338328,0.0199490359152508,0.00569016855988454,0.00553195096899947,-0.0228133933335644,75246897,"2"
"CHSCL 2014",0.027208019792748,0.0105591333825313,-0.0141014983350514,0.112962863252732,-0.273989489532897,12045664926.4,"2"
"LFVN 2014",-0.527327882252739,0.0257936297762523,0.00559634369070598,0.0046111520085519,-0.0161708990159022,149330432.16,"2"
"NAII 2014",-0.541131567207979,0.0213546666997554,0.00576059972189118,0.0062118319239477,-0.0221399824809968,36948141.12,"2"
"SANW 2014",-0.541334751534688,0.0230384935549796,0.00576183121014983,0.00335880752364127,-0.0196305574327026,75602418.87,"2"
"YGYI 2014",-0.5403102747316,0.0220932575408352,0.00497457898165895,0.00564855686659988,-0.0173739913102419,93593961.6,"2"
"UG 2014",-0.539826130359026,0.0214183092659485,0.00586206666832128,0.00625785612165447,-0.0237898221580337,91147385.37,"2"
"LWAY 2014",-0.539421090867131,0.020079420377881,0.00591792251418946,0.00622404979528556,-0.0231803986513248,302891695.01,"2"
"ACU 2014",-0.536937847894592,0.0207788014700244,0.00578478202103716,0.00557517884019423,-0.0220978269900041,65756205.45,"2"
"ALCO 2014",-0.529989095725533,0.0219354127489892,0.00668148012050148,0.0060289637956617,-0.022296792308794,280495629,"2"
"ASPU 2014",-0.543812887962582,0.0220257661994718,0.0057939607902354,0.00513525494827401,-0.0191075538983572,11619999.36,"2"
"CHSCO 2014",0.03368103161507,0.181893833707383,-0.0174162047154732,0.0632888704535741,-0.0854447276056223,14106642145.11,"2"
"CHSCP 2014",0.30981471344704,-0.0454040267465925,-0.020389558086721,0.131618463995372,-0.573767526399606,20610252952.32,"9"
"CJJD 2014",-0.54566678206743,0.0209349517757521,0.00589740519400929,0.00552770934326354,-0.0173624674297605,29619634.14,"2"
"CYAN 2014",-0.541639144370487,0.0227987863945097,0.00568788852645742,0.00542418060560005,-0.0194587509043777,28748935.12,"2"
"DIT 2014",-0.533124926197943,0.0224906911011697,0.00580192632425502,0.00533804130283079,-0.0219449813246052,51070519.5,"2"
"DTEA 2014",-0.381665138371424,-0.192779599300989,0.00348959937710554,-0.0622512450368173,0.207732899507547,339436402.4,"2"
"FTFT 2014",-0.536542454443484,0.0192540053318343,0.00611981682190498,0.00576630183184722,-0.0246106754673576,26128266.08,"2"
"IBA 2014",-0.412265131277356,0.0173690686459621,0.0140061479541415,0.0338111894968896,-0.0983717651911152,2853500000,"2"
"JVA 2014",-0.54141401202253,0.0210031455034663,0.00607145224985678,0.00587208107095395,-0.0224127240300457,35878665.68,"2"
"LINC 2014",-0.537300605175239,0.0200482039953924,0.00541407448079815,0.00487426049221557,-0.013579406257565,67346960.8,"2"
"LND 2014",-0.540261870451066,0.0194978519516849,0.00477303768091484,0.00610946478300639,-0.0195600431399859,219591540,"2"
"MTEX 2014",-0.530348240660752,0.0207967752052286,0.00561487672460522,0.00628832166421272,-0.0242618123073812,71108702.6,"2"
"NATR 2014",-0.499490987960085,0.0246210085204498,0.00404864272198298,0.00533222191075093,-0.0393049240705014,277753713.12,"2"
"NGVC 2014",-0.528053381142936,0.0190015636596311,0.00610325946787367,0.00837853171399051,-0.025699356361624,365940700.4,"2"
"NHTC 2014",-0.534145407249626,0.0214200803114499,0.00524684505752275,0.00863665246878156,-0.0232036574633202,146595105.7,"2"
"OBCI 2014",-0.541287500303187,0.0216710333524797,0.005806350703872,0.00580278710229797,-0.0216455803361513,40292518.48,"2"
"PME 2014",-0.521483541616994,0.0226026054147489,0.00468127818436661,0.00778351183832224,-0.0291035689090997,219773047.34,"2"
"REED 2014",-0.5426229578741,0.0215825239074192,0.00572429297686365,0.00565370176309962,-0.0197695769374285,77193346.8,"2"
"RELV 2014",-0.539822108264287,0.0203135201003584,0.00554085056557302,0.00576758657797085,-0.0220125446245022,14818773.06,"2"
"RMCF 2014",-0.539546070624393,0.0217571558321452,0.0058882568000349,0.00604675069988567,-0.0222073461959254,72595258.2,"2"
"SENEB 2014",-0.297151372153698,0.471307507700849,-0.00727496500142751,-0.103509686295984,0.208834690294529,3448056362.13,"2"
"THST 2014",-0.541401753364752,0.0241277386174949,0.00571164928522149,0.00449056979607867,-0.0201340553962458,301568342.4,"2"
"WILC 2014",-0.538637299413698,0.0219281201992936,0.00582314384698504,0.00594121906489005,-0.0234721637727598,88449880,"2"
"WVVI 2014",-0.541872380775003,0.0207303964485286,0.00581318892641519,0.00607012686763462,-0.0217851510867238,28201514,"2"
"CX 2014",0.223873319651636,-0.753284546286609,0.0196414310059423,-0.144335960712345,0.639402269019723,9866830000,"8"
"VALE 2014",4.04472278595728,-1.15146136128428,0.0292870025514437,0.996240942549273,-1.00826256798875,64910530000,"12"
"AKS 2014",-0.517234310569984,-0.0823611843832171,0.00727047106631023,-0.0583366885952125,0.16761237876324,1051824009.06,"2"
"GSM 2014",-0.466205436420088,-0.00378674925699603,0.00978166851441656,0.0184760214758662,-0.0311649539607455,1769880000,"2"
"FCX 2014",1.0018657244456,-0.601216359998944,-0.0268110018105678,0.195761481571976,0.57623473934442,24273799913.92,"9"
"NUE 2014",0.350766784674907,-0.100516535683367,0.0209496126229856,0.0366563857956309,-0.291718481407984,15646946909.85,"2"
"X 2014",-0.206718487245852,-0.14862697682371,-0.00132910360005598,0.101226806690475,0.0364751875086807,3890258792.28,"2"
"AUY 2014",-0.595418573901543,-0.136215703310776,0.0556468299721114,0.0279529156227011,0.1905673842284,8906953607.4,"2"
"CLF 2014",-2.17903202646781,-0.525699431319768,0.0744035014665252,0.0417372326484652,1.14796485728468,1093814363.46,"13"
"GFI 2014",-0.417016967316796,0.0126810980531967,0.0139273482473566,0.0625126521256796,-0.021150967196502,3492630000,"2"
"KGC 2014",-0.88395366209707,0.0635856238078298,0.0246004184877449,0.0503338284099879,0.629392609613632,5.76e+09,"14"
"HMY 2014",-0.38655445987369,0.0517350351675502,-0.00289659249657287,0.0105822421418607,-0.0763269536745518,2840637541.36,"2"
"NGD 2014",-0.585064955609975,-0.0365129982779859,0.0159560678793214,0.0191639138206001,0.0924886110888561,1186950000,"2"
"GGB 2014",0.158236212947779,-0.272309627511936,-0.0265295514464691,0.0278435562385437,0.0252995822668187,3977600000,"2"
"TS 2014",0.340765530897857,-0.00424941597068645,0.0436356628466522,0.187183099378273,-0.658708496482184,17886631290.36,"9"
"AA 2014",-0.314050452200356,0.119605596534799,0.0287859700036769,0.0410392536816343,0.0627113079684934,4337220791.092,"2"
"EGO 2014",-0.453253724626419,0.0559245516311295,0.0160707503734769,0.00843540741342668,0.0282170328676467,659850000,"2"
"OLN 2014",-0.426033433243001,-0.000382343746991027,0.00883707977765065,0.00805517134633194,-0.0455316235118966,1780484757.48,"2"
"JCI 2014",0.955793990354215,-0.174611900309032,-0.000699598035483787,0.0955881613297534,-0.435012264725023,23635587075.6504,"9"
"AU 2014",-0.437091786686345,-0.0153042909330434,0.0238560160372902,0.0597968970575926,0.340736771094714,3514800000,"2"
"CMC 2014",-0.357136028028841,-0.00106562238602325,0.00563439908006799,-0.0138686583450392,-0.0130952049170442,2058423277.25,"2"
"MAS 2014",-0.000750504405049429,0.0107067700291316,-0.0626826317761558,-0.0209292562372291,-0.000736873473956783,7889061494.82,"2"
"TECK 2014",0.137433140916468,-0.256731746294871,0.0172629099116214,0.0802631932136638,0.0431119567792697,4874615652.64,"2"
"TRQ 2014",-0.693386047291836,0.0331740660313534,0.0124140888817127,0.0740780435409589,0.176794276016098,2209742903.88,"14"
"WPM 2014",-0.350916616102761,-0.00211980185243615,-0.00186740579125161,0.0237949080681764,-0.0674782074468451,7272851289.3,"2"
"BTG 2014",-0.619492156610028,-0.0389509102404583,-0.00118448721826686,0.0143457998156609,0.0727266105469156,70923648.32,"2"
"CENX 2014",-0.53534913623489,0.0265174734374351,0.00597452115206973,0.0206213228064868,0.0235391313452332,2170335055.2,"2"
"HL 2014",-0.504958769160063,0.0250840451286237,0.00334918968669215,-0.000335415844088335,0.0169278793731945,1024981447.77,"2"
"STLD 2014",-0.212504745355322,-0.0763828010111729,0.00323384901553287,0.00490088339129331,0.0158808709888634,4745808563.16,"2"
"AWI 2014",-0.457240029399412,-0.0161015750833108,0.0110180554149126,0.00720477652878845,0.0139174917571048,2805895059.12,"2"
"CDE 2014",-0.703377484270747,-0.032308107186933,-0.0412584166708755,-0.000851259679810256,0.19638624188642,528632494.46,"14"
"CE 2014",0.020972257530773,0.0712964090702879,0.0218699334120367,0.0113472514154076,-0.0620787336653657,9211802661.36,"2"
"HUN 2014",-0.111968957720467,-0.0168828617720648,-0.00636237237499809,-0.040766194441995,0.251527044887158,5562821350.78,"2"
"CSTM 2014",-0.431229863579451,-0.0158771823215489,0.00689887377456066,-0.00455053041603298,0.0567740825806117,1390500000,"2"
"IAG 2014",-0.52058277827338,0.0108065179213386,0.0193652126407454,0.0204523137522396,0.0330022936797148,2694590000,"2"
"WY 2014",0.460388744475675,-0.0610839937322797,-0.0244720891234945,0.000128101227804332,-0.216120132242216,18819407988.95,"2"
"SID 2014",-0.107346694397609,-0.44431050049734,-0.0110338055720402,-0.110892648479743,0.388500044837045,2673290000,"2"
"SLCA 2014",-0.462838225338003,0.00958999171306411,0.00700261937123418,0.0119871940846454,-0.0267909616856076,1385072136.84,"2"
"CF 2014",0.202584433761501,-0.101710537479805,0.0723876511895131,0.0585582066338923,-0.152035520101509,13554837403.88,"2"
"LYB 2014",1.68110767425315,-0.0831500289783858,0.0994299638223907,0.458650537182134,-0.9575047433681,39748029423.79,"3"
"VMC 2014",-0.343031790804074,-0.0151795955700741,0.0101474215792508,-0.0125598249614945,0.0177001467381095,8656843185.48,"2"
